category,im_count,instances,
alpine_sea_holly,43,
buttercup,71	
fire_lily,40
anthurium,105	
californian_poppy,102	
foxglove,162
artichoke,78	
camellia,91	
frangipani,166
azalea,96	
canna_lily,82	
fritillary,91
ball_moss,46	
canterbury_bells,40	
garden_phlox,45
balloon_flower,49	
cape_flower,108	
gaura,67
barbeton_daisy,127	
carnation,52	
gazania,78
bearded_iris,54	
cautleya_spicata,50	
geranium,114
bee_balm,66	
clematis,112	
giant_white_arum_lily,56
bird_of_paradise,85	
colt's_foot,87	
globe_thistle,45
bishop_of_llandaff,109	
columbine,86	
globe-flower,41
black-eyed_susan,54	
common_dandelion,92	
grape_hyacinth,41
blackberry_lily,48	
corn_poppy,41	
great_masterwort,56
blanket_flower,49	
cyclamen,154	
hard-leaved_pocket_orchid,60
bolero_deep_blue,40	
daffodil,59	
hibiscus,131
bougainvillea,128	
desert-rose,63	
hippeastrum,76
bromelia,63	
english_marigold,65	
japanese_anemone,55
king_protea,49	
peruvian_lily,82	
stemless_gentian,66
lenten_rose,67	
petunia,258	
sunflower,61
lotus,137	
pincushion_flower,59	
sweet_pea,56
love_in_the_mist,46	
pink_primrose,40	
sweet_william,85
magnolia,63	
pink-yellow_dahlia?,109	
sword_lily,130
mallow,66	
poinsettia,93	
thorn_apple,120
marigold,67	
primula,93	
tiger_lily,45
mexican_aster,40	
prince_of_wales_feathers,40	
toad_lily,41
mexican_petunia,82	
purple_coneflower,85	
tree_mallow,58
monkshood,46	
red_ginger,42	
tree_poppy,62
moon_orchid,40	
rose,171	
trumpet_creeper,58
morning_glory,107	
ruby-lipped_cattleya,75	
wallflower,196
orange_dahlia,67	
siam_tulip,41	
water_lily,194
osteospermum,61	
silverbush,52	
watercress,184
oxeye_daisy,49	
snapdragon,87	
wild_pansy,85
passion_flower,251	
spear_thistle,48	
windflower,54
pelargonium,71	
spring_crocus,42	
yellow_iris,49